Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Jabatan,Chrome 131.0.0.0,,,30-11-2024 11:25:34,30-11-2024 11:27:11,1m - 37.204s,PASSED
,,,,,,,
Test Cases/Admin/Management/Jabatan/TCC.Hadir.04.061,Chrome 131.0.0.0,Mencari data berdasarkan level,Jabatan,30-11-2024 11:25:34,30-11-2024 11:25:41,7.567s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,30-11-2024 11:25:34,30-11-2024 11:25:36,1.456s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-11-2024 11:25:36,30-11-2024 11:25:36,0.040s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,30-11-2024 11:25:36,30-11-2024 11:25:36,0.390s,PASSED
"setText(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,30-11-2024 11:25:36,30-11-2024 11:25:37,0.801s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,30-11-2024 11:25:37,30-11-2024 11:25:37,0.294s,PASSED
"click(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/button_Masuk""))",Chrome 131.0.0.0,,,30-11-2024 11:25:37,30-11-2024 11:25:37,0.278s,PASSED
"click(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/div_Management""))",Chrome 131.0.0.0,,,30-11-2024 11:25:37,30-11-2024 11:25:39,1.438s,PASSED
"click(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/p_Jabatan""))",Chrome 131.0.0.0,,,30-11-2024 11:25:39,30-11-2024 11:25:39,0.694s,PASSED
"setText(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/input_Admin Hadir_search""), ""3"")",Chrome 131.0.0.0,,,30-11-2024 11:25:39,30-11-2024 11:25:41,1.068s,PASSED
"click(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/button_Search""))",Chrome 131.0.0.0,,,30-11-2024 11:25:41,30-11-2024 11:25:41,0.265s,PASSED
"isPresent = verifyElementPresent(findTestObject(""Object Repository/Admin/Jabatan/Page_HADIR/tableRows""), 5, STOP_ON_FAILURE)",Chrome 131.0.0.0,,,30-11-2024 11:25:41,30-11-2024 11:25:41,0.561s,PASSED
"assert isPresent == true : ""Data not found!""",Chrome 131.0.0.0,,,30-11-2024 11:25:41,30-11-2024 11:25:41,0.001s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,30-11-2024 11:25:41,30-11-2024 11:25:41,0.110s,PASSED
,,,,,,,
