Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cuti,Chrome 131.0.0.0,,,03-12-2024 08:57:15,03-12-2024 09:00:58,3m - 43.365s,ERROR
,,,,,,,
Test Cases/Admin/Laporan/02 Cuti/TCC.Hadir.04.014,Chrome 131.0.0.0,Menampilkan data cuti dengan input tanggal yang sesuai,Cuti,03-12-2024 08:57:54,03-12-2024 08:58:01,7.553s,ERROR
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 08:57:54,03-12-2024 08:57:54,0.750s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 08:57:54,03-12-2024 08:57:55,0.029s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 08:57:55,03-12-2024 08:57:55,0.371s,PASSED
"setText(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 08:57:55,03-12-2024 08:57:56,0.739s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 08:57:56,03-12-2024 08:57:56,0.287s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 08:57:56,03-12-2024 08:57:56,0.271s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/div_Laporan""))",Chrome 131.0.0.0,,,03-12-2024 08:57:56,03-12-2024 08:57:58,1.464s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/p_Cuti""))",Chrome 131.0.0.0,,,03-12-2024 08:57:58,03-12-2024 08:57:59,1.117s,PASSED
"click(findTestObject(""Admin/Cuti/014/Page_HADIR/StartDate""))",Chrome 131.0.0.0,,,03-12-2024 08:57:59,03-12-2024 08:58:00,0.963s,PASSED
"setText(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/StartDate""), ""Jun 1, 2024"")",Chrome 131.0.0.0,,,03-12-2024 08:58:00,03-12-2024 08:58:00,0.509s,PASSED
"click(findTestObject(""Admin/Cuti/014/Page_HADIR/EndDate""))",Chrome 131.0.0.0,,,03-12-2024 08:58:00,03-12-2024 08:58:01,0.261s,PASSED
"setText(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/EndDate""), ""Nov 16, 2024"")",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:01,0.510s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/button_Search""))",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:01,0.264s,PASSED
"expectedLeaveDate = ""24 Sep 2024""",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:01,0.001s,PASSED
"nameObject = findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/Nama_table"")",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:01,0.001s,PASSED
"dateObject = findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/Tanggal"")",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:01,0.001s,PASSED
"verifyElementText(nameObject, expectedName, STOP_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:01,0.002s,ERROR
,,,,,,,
Test Cases/Admin/Laporan/02 Cuti/TCC.Hadir.04.015,Chrome 131.0.0.0,Menampilkan data cuti dengan input nama dan tanggal yang sesuai,Cuti,03-12-2024 08:58:01,03-12-2024 08:58:11,9.559s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 08:58:01,03-12-2024 08:58:02,0.762s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 08:58:02,03-12-2024 08:58:02,0.036s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 08:58:02,03-12-2024 08:58:03,0.465s,PASSED
"setText(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 08:58:03,03-12-2024 08:58:03,0.736s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 08:58:03,03-12-2024 08:58:04,0.287s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 08:58:04,03-12-2024 08:58:04,0.274s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/div_Laporan""))",Chrome 131.0.0.0,,,03-12-2024 08:58:04,03-12-2024 08:58:05,1.361s,PASSED
"click(findTestObject(""Object Repository/Admin/Cuti/014/Page_HADIR/p_Cuti""))",Chrome 131.0.0.0,,,03-12-2024 08:58:05,03-12-2024 08:58:06,1.108s,PASSED
