Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Izin Pulang Cepat,Chrome 131.0.0.0,,,03-12-2024 16:52:33,03-12-2024 16:55:46,3m - 12.961s,PASSED
,,,,,,,
Test Cases/Admin/Laporan/01 Izin Pulang Cepat/TCC.Hadir.04.001,Chrome 131.0.0.0,Menampilkan data izin pulang cepat dengan input tanggal yang sesuai,,03-12-2024 16:52:33,03-12-2024 16:52:43,9.768s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 16:52:33,03-12-2024 16:52:35,1.519s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 16:52:35,03-12-2024 16:52:35,0.046s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 16:52:35,03-12-2024 16:52:35,0.861s,PASSED
"setText(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/input_Email_email (1)""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 16:52:35,03-12-2024 16:52:36,0.598s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/input_Password_password (1)""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 16:52:36,03-12-2024 16:52:36,0.294s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/button_Masuk (1)""))",Chrome 131.0.0.0,,,03-12-2024 16:52:36,03-12-2024 16:52:37,0.283s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/p_Laporan""))",Chrome 131.0.0.0,,,03-12-2024 16:52:37,03-12-2024 16:52:38,1.408s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/p_Izin Pulang Cepat""))",Chrome 131.0.0.0,,,03-12-2024 16:52:38,03-12-2024 16:52:39,1.016s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/svg_Start Date_feather feather-calendar (1)""))",Chrome 131.0.0.0,,,03-12-2024 16:52:39,03-12-2024 16:52:40,0.825s,PASSED
"click(findTestObject(""Admin/IzinPulangCepatPage/002/Page_HADIR/StartDate""))",Chrome 131.0.0.0,,,03-12-2024 16:52:40,03-12-2024 16:52:40,0.465s,PASSED
"setText(findTestObject(""Admin/IzinPulangCepatPage/002/Page_HADIR/StartDate""), ""Nov 1, 2024"")",Chrome 131.0.0.0,,,03-12-2024 16:52:40,03-12-2024 16:52:41,0.542s,PASSED
"click(findTestObject(""Admin/IzinPulangCepatPage/002/Page_HADIR/EndDate""))",Chrome 131.0.0.0,,,03-12-2024 16:52:41,03-12-2024 16:52:41,0.266s,PASSED
"setText(findTestObject(""Admin/IzinPulangCepatPage/002/Page_HADIR/EndDate""), ""Nov 25, 2024"")",Chrome 131.0.0.0,,,03-12-2024 16:52:41,03-12-2024 16:52:42,0.527s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/button_Search (1)""))",Chrome 131.0.0.0,,,03-12-2024 16:52:42,03-12-2024 16:52:42,0.271s,PASSED
"assert verifyElementText(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/td_kazama (1)""), ""kazama"")",Chrome 131.0.0.0,,,03-12-2024 16:52:42,03-12-2024 16:52:43,0.595s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 16:52:43,03-12-2024 16:52:43,0.111s,PASSED
,,,,,,,
Test Cases/Admin/Laporan/01 Izin Pulang Cepat/TCC.Hadir.04.002,Chrome 131.0.0.0,Menampilkan data izin pulang cepat dengan input nama dan tanggal yang sesuai,IzinPulangCepat,03-12-2024 16:52:43,03-12-2024 16:52:52,9.138s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 16:52:43,03-12-2024 16:52:43,0.661s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 16:52:43,03-12-2024 16:52:43,0.038s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 16:52:43,03-12-2024 16:52:44,1.019s,PASSED
"setText(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/002/Page_HADIR/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 16:52:44,03-12-2024 16:52:45,0.741s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/002/Page_HADIR/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 16:52:45,03-12-2024 16:52:45,0.285s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/002/Page_HADIR/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 16:52:45,03-12-2024 16:52:46,0.274s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/002/Page_HADIR/div_Laporan""))",Chrome 131.0.0.0,,,03-12-2024 16:52:46,03-12-2024 16:52:47,1.518s,PASSED
"click(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/002/Page_HADIR/p_Izin Pulang Cepat""))",Chrome 131.0.0.0,,,03-12-2024 16:52:47,03-12-2024 16:52:48,0.919s,PASSED
"setText(findTestObject(""Object Repository/Admin/IzinPulangCepatPage/002/Page_HADIR/input_Search_search""), ""Kazama"")",Chrome 131.0.0.0,,,03-12-2024 16:52:48,03-12-2024 16:52:49,1.052s,PASSED
"click(findTestObject(""Admin/IzinPulangCepatPage/002/Page_HADIR/StartDate""))",Chrome 131.0.0.0,,,03-12-2024 16:52:49,03-12-2024 16:52:49,0.267s,PASSED
