Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalender,Chrome 131.0.0.0,,,03-12-2024 17:01:32,03-12-2024 17:01:42,10.039s,PASSED
,,,,,,,
Test Cases/Admin/Management/Kalender/TCC.Hadir.04.001,Chrome 131.0.0.0,,Kalender,03-12-2024 17:01:32,03-12-2024 17:01:42,9.935s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 17:01:32,03-12-2024 17:01:34,1.419s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 17:01:34,03-12-2024 17:01:34,0.045s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 17:01:34,03-12-2024 17:01:35,1.037s,PASSED
"setText(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 17:01:35,03-12-2024 17:01:36,0.801s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 17:01:36,03-12-2024 17:01:36,0.298s,PASSED
"click(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 17:01:36,03-12-2024 17:01:36,0.292s,PASSED
"click(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/div_Management""))",Chrome 131.0.0.0,,,03-12-2024 17:01:36,03-12-2024 17:01:40,3.457s,PASSED
"click(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/p_Kalender""))",Chrome 131.0.0.0,,,03-12-2024 17:01:40,03-12-2024 17:01:41,0.919s,PASSED
"setText(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/input_Admin Hadir_search""), ""idul fitri"")",Chrome 131.0.0.0,,,03-12-2024 17:01:41,03-12-2024 17:01:42,1.174s,PASSED
"click(findTestObject(""Object Repository/Admin/Kalender/Page_HADIR/button_Search""))",Chrome 131.0.0.0,,,03-12-2024 17:01:42,03-12-2024 17:01:42,0.258s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 17:01:42,03-12-2024 17:01:42,0.098s,PASSED
