Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 131.0.0.0,,,11-12-2024 12:14:07,11-12-2024 12:14:14,6.386s,PASSED
,,,,,,,
Test Cases/User/Login/TCC.Hadir.01.001.Login,Chrome 131.0.0.0,,Login App,11-12-2024 12:14:07,11-12-2024 12:14:14,6.266s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-12-2024 12:14:08,11-12-2024 12:14:09,1.798s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,11-12-2024 12:14:09,11-12-2024 12:14:09,0.050s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/absen/login"")",Chrome 131.0.0.0,,,11-12-2024 12:14:09,11-12-2024 12:14:11,1.089s,PASSED
"setText(findTestObject(""Object Repository/User/Login/Page_HADIR/input_Email_email""), ""testuser1@gmail.com"")",Chrome 131.0.0.0,,,11-12-2024 12:14:11,11-12-2024 12:14:11,0.825s,PASSED
"setEncryptedText(findTestObject(""Object Repository/User/Login/Page_HADIR/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 131.0.0.0,,,11-12-2024 12:14:11,11-12-2024 12:14:12,0.330s,PASSED
"click(findTestObject(""Object Repository/User/Login/Page_HADIR/button_Masuk""))",Chrome 131.0.0.0,,,11-12-2024 12:14:12,11-12-2024 12:14:12,0.309s,PASSED
waitForPageLoad(10),Chrome 131.0.0.0,,,11-12-2024 12:14:12,11-12-2024 12:14:12,0.095s,PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Object Repository/User/Login/Page_HADIR/div_Berhasil login""), 10, CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,11-12-2024 12:14:12,11-12-2024 12:14:14,1.445s,PASSED
if (loginSuccess),Chrome 131.0.0.0,,,11-12-2024 12:14:14,11-12-2024 12:14:14,0.017s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,11-12-2024 12:14:14,11-12-2024 12:14:14,0.104s,PASSED
